#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
CBA,20130304,00:00:00.000,ENTER,67.760,1959,0,132741.84,,0,6239925033925459786,,B,,,,244,
CBA,20130304,00:00:00.000,ENTER,67.720,15,0,1015.8,,0,6239925033924850752,,B,,,,203,
CBA,20130304,00:00:00.000,ENTER,67.380,111,0,7479.18,,0,6239925033923871154,,B,,,,140,
CBA,20130304,00:00:00.000,ENTER,67.290,20,0,1345.8,,0,6239925033923827073,,B,,,,203,
CBA,20130304,00:00:00.000,ENTER,67.250,780,0,52455,,0,6239925033922652947,,B,,,,266,
CBA,20130304,00:00:00.000,ENTER,67.240,500,0,33620,,0,6239925033925501865,,B,,,,144,
CBA,20130304,00:00:00.000,ENTER,67.110,2500,0,167775,,0,6239925033922313186,,B,,,,179,
CBA,20130304,00:00:00.000,ENTER,67.050,73,0,4894.65,,0,6239925033923978120,,B,,,,233,
CBA,20130304,00:00:00.000,ENTER,67.020,1000,0,67020,,0,6239925033923271502,,B,,,,140,
CBA,20130304,00:00:00.000,ENTER,67.010,1000,0,67010,,0,6239528659980726721,,B,,,,289,
CBA,20130304,00:00:00.000,ENTER,67.010,148,0,9917.48,,0,6239925033925345738,,B,,,,140,
